num_qubits,Original Image height,Original Image height,padded pixel count,make_circ time,measure time,execute time,total time,MSE,SSIM,Number of Shots
7,8,8,0,1.875913382,0,2.735809088,4.611722469,1.046875,0.999740135,1048576
9,14,14,60,9.373785257,0,7.263256788,16.63704205,4.581632653,0.998318889,1048576
9,16,16,0,9.355019569,0,7.274368286,16.62938786,3.9765625,0.998503186,1048576
3,2,2,0,0.124111891,0.001000881,1.935107708,2.06022048,1,,1048576
11,32,32,0,47.10026526,0.001000643,33.31659055,80.41785645,15.45605469,0.987340777,1048576
13,64,64,0,234.4123471,0,193.2923541,427.7047012,48.39624023,0.868874326,1048576
13,64,64,0.0,249.63627648353577,0.0,458.9175343513489,708.5538108348846,0.96533203125,0.9974944895624345,104857600
15,128,128,0.0,1178.6736731529236,0.0009999275207519531,1225.5565395355225,2404.231212615967,2.865966796875,0.9824664835261828,104857600
3,2,2,0.0,0.12962746620178223,0.0,2.8721649646759033,3.0017924308776855,0.75,,1048576
3,2,2,0.0,0.12762022018432617,0.0,0.058052778244018555,0.18567299842834473,63.5,,1024
5,3,3,7.0,0.454725980758667,0.0,0.09059977531433105,0.545325756072998,122.44444444444444,,1024
5,3,3,7.0,0.46060967445373535,0.0,0.0942540168762207,0.554863691329956,90.11111111111111,,1024
5,3,3,7.0,0.46595287322998047,0.0010006427764892578,0.09808874130249023,0.56504225730896,78.44444444444444,,1024
5,3,3,7.0,0.46137309074401855,0.0,0.0940849781036377,0.5554580688476562,54.666666666666664,,1024
5,3,3,7.0,115.09043860435486,0.0,0.09794950485229492,115.18838810920715,76.88888888888889,,1024
5,3,3,7.0,5.274150609970093,0.0010001659393310547,3.2972686290740967,8.57241940498352,0.3333333333333333,,1048576
5,3,3,7.0,3.19618821144104,0.0,0.09046077728271484,3.286648988723755,64.77777777777777,,1024
5,4,4,0.0,3.909966230392456,0.0,2.0773332118988037,5.98729944229126,0.375,,1048576
7,8,8,0.0,6.353220462799072,0.0,2.715294122695923,9.068514585494995,1.109375,0.9996500007958384,1048576
9,16,16,0.0,19.84215521812439,0.0,10.063547849655151,29.90570306777954,4.26953125,0.9984457961232015,1048576
11,32,32,0.0,105.8649525642395,0.0,33.18681073188782,139.05176329612732,16.1396484375,0.9866544679317684,1048576
7,8,8,0.0,2.1339383125305176,0.0,2.70345401763916,4.837392330169678,1.234375,0.9997458192853498,1048576
7,8,8,0.0,2.011765718460083,4.433847665786743,2.8018393516540527,9.247452735900879,1.484375,0.9996120661474103,1048576
7,8,8,0.0,2.203054666519165,3.862840175628662,2.8012382984161377,8.867133140563965,1.515625,0.9996147419018961,1048576
7,8,8,0.0,1.9370710849761963,4.328330039978027,2.8079428672790527,9.073343992233276,1.53125,0.9995890732855459,1048576
7,8,8,0.0,2.191438913345337,3.8065803050994873,2.766387701034546,8.76440691947937,1.015625,0.9996621691000311,1048576
9,16,16,0.0,9.675436735153198,8.618224620819092,7.435828447341919,25.72948980331421,4.33203125,0.9981896051661724,1048576
9,16,16,0.0,9.945809602737427,8.789337158203125,7.399116039276123,26.134262800216675,3.90625,0.998420602546044,1048576
